METER_ID,OBJECTID,Meter_Styl,Type,Sub_Base,Max_Hours,Rate_Per_H,Rate_Per_D,Hours_Oper,Sign_Type,Notes,Duplex,LegacyID,Location,FacilityID,Rotation,GlobalID
24K32,774,VIP,Mechanical,Concrete Sidewalk,10 hours,.25 per 75 min,5.00,8:30 - 5:00,NP LT,,Stove Pipe,5,24-K,24K32,270,{696EB859-E0BA-476B-AFD8-82968D78E21C}
24K28,775,VIP,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,Other,,,5,24-K,24K28,270,{FF301953-DB98-4060-A6BD-D5713C0A77BF}
24K27,776,VIP,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,Other,,,5,24-K,24K27,270,{588EDAE3-DCEF-4F99-861D-E47532D19226}
24K26,777,VIP,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,NP LT,,Stove Pipe,5,24-K,24K26,270,{FDBAC0A8-2F02-4CB3-94EE-DCDF2EB44888}
20L98,778,Tallboy,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L98,90,{2BE2AF7F-6F89-4CF7-8D00-01F3F4D2A229}
20L88,779,VIP,Electronic,Concrete Sidewalk,2 hours,1.00 per hour,10.00,8:30 - 5:00,,,,5,20-L,20L88,90,{BA4EFE67-15BA-497F-9734-6374A3038B0A}
22K34,780,VIP,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,NP LT,,Stove Pipe,5,22-K,22K34,270,{B6C525AB-4AC6-49B3-B3DA-B0A06B4BF5DE}
20K37,781,,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,,,,5,20-K,20K37,270,{56B6ADF0-1477-41C7-A64B-298E7DF3EF09}
20K36,782,,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,,,,5,20-K,20K36,270,{B85CD775-A6DD-4B90-9FFE-14945C46DCFC}
20K35,783,,Electronic,Concrete Sidewalk,10 hours,.25 per hour,5.00,8:30 - 5:00,,,,5,20-K,20K35,270,{70575252-B9DF-4524-940F-B268DA9AB0A7}
